"あう","会う, 逢う, 遭う, 遇う","あう, 会う, 逢う, 遭う, 遇う
Godan verb, Intransitive, 逢う is often used for close friends, etc. and may be associated with drama or pathos; 遭う may have an undesirable nuance
1.  to meet, to encounter, to see
Usually in kana, esp. 遭う when in kanji
2.  to have an accident, to have a bad experience
 
","https://takoboto.jp/?w=1198180"
"青","蒼, 碧, あお","青, 蒼, 碧, あお
May take 'no'
1.  blue, azure
mostly in compound words and in ref. to fruits, plants and traffic lights
2.  green
See 青信号・1, Abbreviation
3.  green light (traffic)
See 青毛
4.  black (horse coat color)
See あおたん, hanafuda
5.  blue 5-point card
 
","https://takoboto.jp/?w=1381380"
"青い","蒼い, 碧い, あおい","青い, 蒼い, 碧い, あおい
1.  blue, azure
mostly arch. or in ref. to fruits, vegetables and traffic lights, etc.
2.  green
Only 青い, Only 蒼い, in ref. to facial colour
3.  pale, gray, grey
4.  unripe, inexperienced
 
","https://takoboto.jp/?w=1381390"
"赤","紅, 朱, 緋, あか","赤, 紅, 朱, 緋, あか
May take 'no'
1.  red, crimson, scarlet
2.  red-containing colour (e.g. brown, pink, orange)
Colloquialism, often written as アカ
3.  Red (i.e. communist)
See 赤信号・1, Abbreviation
4.  red light (traffic)
See 赤字・1, See 赤字・2
5.  red ink (i.e. in finance or proof-reading), (in) the red
 
","https://takoboto.jp/?w=2013900"
"赤い","紅い, 朱い, 緋い, 赭い, 丹い, あかい","赤い, 紅い, 朱い, 緋い, 赭い, 丹い, あかい
紅い is esp. for scarlet
1.  red, crimson, scarlet, vermilion, vermillion, communist
Archaism
2.  beautiful
 
","https://takoboto.jp/?w=1383240"
"明るい","あかるい","明るい, あかるい
1.  light, well-lit, well-lighted
2.  bright (of a colour), brightly-coloured, brightly-colored
3.  cheerful, spirited, sunny (e.g. disposition)
4.  encouraging (for the future of a project, etc.), promising, of fair prospects
as 〜に明るい
5.  familiar (with), knowledgeable (about), well versed (in)
 
","https://takoboto.jp/?w=1532350"
"秋","あき","秋, あき
Adverb
autumn, fall
 
","https://takoboto.jp/?w=1332650"
"開く","空く, 明く, あく","開く, 空く, 明く, あく
Godan verb, Intransitive, esp. 開く
1.  to open (e.g. doors)
2.  to open (e.g. business, etc.)
esp. 空く
3.  to be empty
4.  to be vacant, to be available, to be free
esp. 明く
5.  to be open (e.g. neckline, etc.)
 
","https://takoboto.jp/?w=1586270"
"開ける","空ける, 明ける, あける","開ける, 空ける, 明ける, あける
Only 開ける, Ichidan verb, Transitive
1.  to open (a door, etc.), to unwrap (e.g. parcel, package), to unlock
2.  to open (for business, etc.)
esp. 空ける
3.  to empty, to remove, to make space, to make room
4.  to move out, to clear out
5.  to be away from (e.g. one's house), to leave (temporarily)
 
","https://takoboto.jp/?w=1202450"
"あげる","上げる, 挙げる, 揚げる","あげる, 上げる, 挙げる, 揚げる
Ichidan verb, Transitive, See 手を挙げる・1
1.  to raise, to elevate
See 髪を上げる
2.  to do up (one's hair)
3.  to fly (a kite, etc.), to launch (fireworks, etc.), to surface (a submarine, etc.)
4.  to land (a boat)
Only 揚げる
5.  to deep-fry
 
","https://takoboto.jp/?w=1352320"
