"間","あいだ, あわい","間, あいだ, あわい1.  space (between), gap, interval, distance, stretchAdverb2.  period of time (during, while), duration3.  between (two parties or things)4.  among (a group)5.  relations (between), relationshipSee more >  common ","https://takoboto.jp/?w=1215230"
"合う","あう, おう","合う, あう, おうGodan verb, Intransitive1.  to come together, to merge, to unite, to meet2.  to fit, to match, to suit, to agree with, to be correct3.  to be profitable, to be equitableAuxiliary verb, after the -masu stem of a verb4.  to do ... to each other, to do ... togetherSee more >  common ","https://takoboto.jp/?w=1284430"
"赤ちゃん","あかちゃん","赤ちゃん, あかちゃんbaby, infantSee more >  common ","https://takoboto.jp/?w=1383260"
"上がる","揚がる, 挙がる, 上る, あがる","上がる, 揚がる, 挙がる, 上る, あがるGodan verb, Intransitive, Antonym: 下がる・11.  to rise, to go up, to come up, to ascend, to be raised2.  to enter (esp. from outdoors), to come in, to go in3.  to enter (a school), to advance to the next grade4.  to get out (of water), to come ashorealso written as 騰る in ref. to price5.  to increaseSee more >  common ","https://takoboto.jp/?w=1352290"
"赤ん坊","赤んぼ, 赤んぼう, あかんぼう, あかんぼ","赤ん坊, 赤んぼ, 赤んぼう, あかんぼう, あかんぼbaby, infantSee more >  common ","https://takoboto.jp/?w=1383310"
"開く","空く, 明く, あく","開く, 空く, 明く, あくGodan verb, Intransitive, esp. 開く1.  to open (e.g. doors)2.  to open (e.g. business, etc.)esp. 空く3.  to be empty4.  to be vacant, to be available, to be freeesp. 明く5.  to be open (e.g. neckline, etc.)See more >  common ","https://takoboto.jp/?w=1586270"
"アクセサリー","アクセサリ","アクセサリー, アクセサリ1.  accessory (fashion), jewelry2.  accessory (audio, car, camera, etc.)See more >  common ","https://takoboto.jp/?w=1015220"
"あげる","上げる, 挙げる, 揚げる","あげる, 上げる, 挙げる, 揚げるIchidan verb, Transitive, See 手を挙げる・11.  to raise, to elevateSee 髪を上げる2.  to do up (one's hair)3.  to fly (a kite, etc.), to launch (fireworks, etc.), to surface (a submarine, etc.)4.  to land (a boat)Only 揚げる5.  to deep-frySee more >  common ","https://takoboto.jp/?w=1352320"
"浅い","あさい","浅い, あさいAntonym: 深い・11.  shallow, superficial2.  slight (wound), light (sleep), pale (colour), inadequate (knowledge)3.  short (time), early, youngSee more >  common ","https://takoboto.jp/?w=1390800"
"味","あじ","味, あじ1.  flavor, flavour, taste2.  charm, appeal, uniqueness, attractiveness3.  experience, taste (e.g. of victory)NA-adjective, See 味な4.  smart, clever, witty, strangeSee more >  common ","https://takoboto.jp/?w=1526960"
"アジア","亜細亜","アジア, 亜細亜Usually in kanaAsiaSee more >  common ","https://takoboto.jp/?w=1015840"
"明日","あした, あす, みょうにち","明日, あした, あす, みょうにちAdverb1.  tomorrowOnly あす2.  near futureSee more >  common ","https://takoboto.jp/?w=1584660"
"遊び","あそび","遊び, あそび1.  play, playing, game2.  pleasure, amusement, pastime, recreation, diversion3.  play (in a mechanism, e.g. a steering wheel)4.  flexibility (in a performance, art, etc.), freedomSee 遊び紙, Abbreviation5.  flyleafSee more >  common ","https://takoboto.jp/?w=1542070"
"集まる","集る, あつまる","集まる, 集る, あつまるGodan verb, Intransitiveto gather, to collect, to assembleSee more >  common ","https://takoboto.jp/?w=1333550"
"集める","あつめる","集める, あつめるIchidan verb, Transitiveto collect, to assemble, to gatherSee more >  common ","https://takoboto.jp/?w=1333560"
"アナウンサー","アナウンサ","アナウンサー, アナウンサ1.  announcer, presenter, broadcaster, reporter2.  in-house television talent who does on-location fluff pieces for variety showsSee more >  common ","https://takoboto.jp/?w=1017330"
"アフリカ","阿弗利加, 亜弗利加","アフリカ, 阿弗利加, 亜弗利加Usually in kanaAfricaSee more >  common ","https://takoboto.jp/?w=1929050"
"アメリカ","亜米利加, 亜墨利加","アメリカ, 亜米利加, 亜墨利加See アメリカ合衆国, Abbreviation, Usually in kana1.  (United States of) America, United States, US, USA2.  America (land mass), the AmericasSee more >  common ","https://takoboto.jp/?w=1149830"
"謝る","あやまる","謝る, あやまるGodan verbto apologize, to apologiseSee more >  common ","https://takoboto.jp/?w=1323010"
"アルコール","アルコホル","アルコール, アルコホルChemistry term1.  alcohol2.  alcoholic drinkSee アルコール消毒液, Abbreviation3.  (alcohol-based) hand sanitizerSee more >  common ","https://takoboto.jp/?w=1019280"
"アルコール","アルコホル","アルバイトTakes suru, Intransitive1.  part-time job, side job2.  part-time workerSee more >  common ","https://takoboto.jp/?w=1019420"
"安心","安神, あんしん","安心, 安神, あんしんNA-adjective, Takes suru, Intransitiverelief, peace of mindSee more >  common ","https://takoboto.jp/?w=1153890"
"安全","あんぜん, あんせん","安全, あんぜん, あんせんNA-adjective, Antonym: 危険・1safety, securitySee more >  common ","https://takoboto.jp/?w=1153930"
"以下","已下, いか, いげ","以下, 已下, いか, いげNoun, used as a suffix, Antonym: 以上・11.  not exceeding ..., not more than ..., ... and under, ... and below, ... or fewer2.  below (a standard, level, etc.), beneath, less thanMay take 'no'3.  the following, the below-mentioned, the rest, followed by ...used to refer to all members of a group, starting with the head or principal figure4.  including ..., ... and other (employees, officials, etc.)See more >  common ","https://takoboto.jp/?w=1155060"
"以外","いがい","以外, いがいAdverbwith the exception of, excepting, excludingSee more >  common ","https://takoboto.jp/?w=1155090"
"医学","いがく","医学, いがくmedical science, medicineSee more >  common ","https://takoboto.jp/?w=1159810"
"生きる","活きる, いきる","生きる, 活きる, いきるIchidan verb, Intransitive1.  to live, to exist2.  to make a living, to subsist3.  to be in effect, to be in use, to function4.  to come to life, to be enlivened5.  to be safe (in baseball, go, etc.)See more >  common ","https://takoboto.jp/?w=1378520"
"意見","いけん","意見, いけん1.  opinion, view, commentTakes suru, Transitive, Intransitive2.  scolding, reprimand, rebuke, admonition, cautioning, warningSee more >  common ","https://takoboto.jp/?w=1156530"
"石","いし","石, いし1.  stone2.  jewel, precious stone3.  flint (in a lighter)Medicine term4.  stone (in the bladder, kidney etc.), calculusSee more >  common ","https://takoboto.jp/?w=1382440"
"いじめる","苛める, 虐める","いじめる, 苛める, 虐めるIchidan verb, Transitive, Usually in kana1.  to ill-treat, to bully, to torment, to pick on, to tease, to be cruel to, to persecute2.  to be tough on (e.g. one's body), to treat harshlySee more >  common ","https://takoboto.jp/?w=1195140"
