"相変わらず","相変らず, あい変わらず, あい変らず, あいかわらず","相変わらず, 相変らず, あい変わらず, あい変らず, あいかわらず
Adverb, May take 'no'
as usual, as always, as before, as ever, still
 
","https://takoboto.jp/?w=1401310"
"あう","会う, 逢う, 遭う, 遇う","あう, 会う, 逢う, 遭う, 遇う
Godan verb, Intransitive, 逢う is often used for close friends, etc. and may be associated with drama or pathos; 遭う may have an undesirable nuance
1.  to meet, to encounter, to see
Usually in kana, esp. 遭う when in kanji
2.  to have an accident, to have a bad experience
 
","https://takoboto.jp/?w=1198180"
"扇ぐ","煽ぐ, あおぐ","扇ぐ, 煽ぐ, あおぐ
Godan verb, Transitive
1.  to fan
2.  to incite, to instigate
 
","https://takoboto.jp/?w=1609000"
"青白い","蒼白い, 青じろい, あおじろい","青白い, 蒼白い, 青じろい, あおじろい
1.  pale, pallid
2.  bluish-white
 
","https://takoboto.jp/?w=1381760"
"赤ん坊","赤んぼ, 赤んぼう, あかんぼう, あかんぼ","赤ん坊, 赤んぼ, 赤んぼう, あかんぼう, あかんぼ
baby, infant
 
","https://takoboto.jp/?w=1383310"
"空き","明き, あき","空き, 明き, あき
1.  space, room, gap, emptiness
2.  vacancy, opening, empty seat
May take 'no'
3.  free time, time to spare
4.  disuse, unused thing
 
","https://takoboto.jp/?w=1609010"
"呆れる","惘れる, あきれる","呆れる, 惘れる, あきれる
Ichidan verb, Intransitive
to be amazed, to be shocked, to be astonished, to be astounded, to be disgusted, to be exasperated, to be fed up
 
","https://takoboto.jp/?w=1515580"
"['アクセント']","","アクセント
Linguistics terminology
1.  accent (on a syllable, word), stress, pitch accent
2.  intonation, inflection, cadence
3.  (language) accent (e.g. American, British)
4.  accent (e.g. in a design), highlight, emphasis
Music term
5.  accent (on a note)
 
","https://takoboto.jp/?w=1015310"
"あくまで","飽くまで, 飽く迄","あくまで, 飽くまで, 飽く迄
Adverb, Usually in kana
1.  to the end, to the bitter end, to the last, stubbornly, persistently, consistently, to the utmost
2.  after all, it must be remembered, only, purely, simply
See more >
","https://takoboto.jp/?w=1518320"
"明け方","明方, 明けがた, あけがた","明け方, 明方, 明けがた, あけがた
Adverb, See 夕方
dawn
 
","https://takoboto.jp/?w=1532300"
"あげる","上げる, 挙げる, 揚げる","あげる, 上げる, 挙げる, 揚げる
Ichidan verb, Transitive, See 手を挙げる・1
1.  to raise, to elevate
See 髪を上げる
2.  to do up (one's hair)
3.  to fly (a kite, etc.), to launch (fireworks, etc.), to surface (a submarine, etc.)
4.  to land (a boat)
Only 揚げる
5.  to deep-fry
 
","https://takoboto.jp/?w=1352320"
"憧れる","憬れる, あこがれる","憧れる, 憬れる, あこがれる
Ichidan verb, Intransitive
to long for, to yearn after, to admire, to be attracted by
 
","https://takoboto.jp/?w=1453810"
"足跡","足あと, あしあと, そくせき","足跡, 足あと, あしあと, そくせき
1.  footprints
Computer terminology
2.  record of page visitors (e.g. in social networking sites)
 
","https://takoboto.jp/?w=1581330"
"味わう","あじわう","味わう, あじわう
Godan verb, Transitive
1.  to taste, to savor, to savour, to relish
2.  to appreciate, to enjoy, to digest
3.  to experience, to go through, to taste (e.g. victory), to know (e.g. pain)
 
","https://takoboto.jp/?w=1527010"
"預かる","あずかる","預かる, あずかる
Godan verb, Transitive
1.  to look after, to take care of, to keep, to hold on to, to keep in custody
2.  to be put in charge of, to be given responsibility for, to be entrusted with
3.  to withhold (an announcement), to reserve (judgment), to leave undecided
4.  to take upon oneself (to do), to settle (a matter) oneself
 
","https://takoboto.jp/?w=1544970"
"温まる","暖まる, あたたまる, あったまる, ぬくまる","温まる, 暖まる, あたたまる, あったまる, ぬくまる
Godan verb, Intransitive
to warm oneself, to sun oneself, to warm up, to get warm
 
","https://takoboto.jp/?w=1586430"
"温める","暖める, あたためる, あっためる","温める, 暖める, あたためる, あっためる
Ichidan verb, Transitive
1.  to warm (up), to heat (up)
Only 温める
2.  to sit on (an idea, plan, etc.), to keep to oneself, to nurse, to mull over
See 旧交を温める
3.  to renew (an old friendship)
4.  to take for oneself
 
","https://takoboto.jp/?w=1586440"
"当たり前","当り前, あたり前, 当りまえ, あたりまえ","当たり前, 当り前, あたり前, 当りまえ, あたりまえ
May take 'no', NA-adjective
1.  natural, reasonable, obvious
2.  usual, common, ordinary, commonplace, the norm
 
","https://takoboto.jp/?w=1448800"
"あちこち","彼方此方, あちらこちら, あっちこっち, アチコチ","あちこち, 彼方此方, あちらこちら, あっちこっち, アチコチ
Pronoun, Adverb, Takes suru, Intransitive, Usually in kana
1.  here and there, various places, all around, all over, everywhere, throughout
NA-adjective
2.  muddled, confused, in the wrong order, back to front
 
","https://takoboto.jp/?w=1612620"
"厚かましい","あつかましい","厚かましい, あつかましい
impudent, shameless, brazen, cheeky, presumptuous
 
","https://takoboto.jp/?w=1275330"
"圧縮","あっしゅく","圧縮, あっしゅく
Takes suru, Transitive
1.  compression
2.  condensing, shortening, summarizing
Antonym: 解凍・2, Computer terminology
3.  compression (of data)
 
","https://takoboto.jp/?w=1153080"
